"","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Assembly"
"12385","DLKQ01000022.1_37","-","TIGR01009","TIGR01009",6.5e-87,286.4,7.6,7.3e-87,286.2,7.6,1,1,0,0,1,1,1,1,"DLKQ"
"12400","DLKT01000003.1_28","-","TIGR01009","TIGR01009",3.6e-87,287.9,1,4.2e-87,287.7,1,1,1,0,0,1,1,1,1,"DLKT"
"12414","DLKU01000017.1_34","-","TIGR01009","TIGR01009",2.6e-78,258.7,4.6,3.1e-78,258.4,4.6,1.1,1,0,0,1,1,1,1,"DLKU"
"12429","DLKZ01000015.1_39","-","TIGR01009","TIGR01009",1.2e-93,309.9,0.9,1.4e-93,309.6,0.9,1,1,0,0,1,1,1,1,"DLKZ"
"12450","DLLD01000014.1_145","-","TIGR01009","TIGR01009",7.4e-91,299.9,5.2,8.3e-91,299.8,5.2,1,1,0,0,1,1,1,1,"DLLD"
"12464","DLLG01000012.1_68","-","TIGR01009","TIGR01009",2.5e-91,301.7,0.3,3e-91,301.5,0.3,1,1,0,0,1,1,1,1,"DLLG"
"12484","DLMZ01000026.1_10","-","TIGR01009","TIGR01009",1.3e-95,316.1,4.2,1.5e-95,315.9,4.2,1,1,0,0,1,1,1,1,"DLMZ"
"12502","DLNM01000019.1_9","-","TIGR01009","TIGR01009",8.3e-92,304.4,3.5,9.6e-92,304.2,3.5,1,1,0,0,1,1,1,1,"DLNM"
"12516","DLNT01000023.1_8","-","TIGR01009","TIGR01009",6.7e-94,311.1,5.9,7.8e-94,310.9,5.9,1,1,0,0,1,1,1,1,"DLNT"
"12549","DLOP01000087.1_50","-","TIGR01009","TIGR01009",8.9e-95,313.9,0.9,1e-94,313.7,0.9,1,1,0,0,1,1,1,1,"DLOP"
"12577","DLOT01000011.1_49","-","TIGR01009","TIGR01009",7e-88,290.5,2.7,8.1e-88,290.3,2.7,1,1,0,0,1,1,1,1,"DLOT"
"12592","DLQT01000004.1_29","-","TIGR01009","TIGR01009",1.6e-95,315.6,3.4,1.9e-95,315.4,3.4,1,1,0,0,1,1,1,1,"DLQT"
"12607","DLQV01000035.1_23","-","TIGR01009","TIGR01009",1.8e-94,312.6,0.8,2e-94,312.4,0.8,1,1,0,0,1,1,1,1,"DLQV"
"12643","DLSK01000004.1_104","-","TIGR01009","TIGR01009",2.2e-76,252.2,0.8,2.7e-76,251.9,0.8,1,1,0,0,1,1,1,1,"DLSK"
"12657","DLSM01000004.1_66","-","TIGR01009","TIGR01009",1.5e-89,295.1,3.7,1.7e-89,295,3.7,1,1,0,0,1,1,1,1,"DLSM"
"12671","DLTL01000106.1_16","-","TIGR01009","TIGR01009",8.6e-93,306.5,1.9,9.8e-93,306.3,1.9,1,1,0,0,1,1,1,1,"DLTL"
"5","DAZZ01000028.1_15","-","TIGR01044","TIGR01044",1.2e-44,147.8,1.2,1.4e-44,147.6,1.2,1,1,0,0,1,1,1,1,"DAZZ"
"19","DBBB01000076.1_35","-","TIGR01044","TIGR01044",2.2e-43,143.3,1.4,2.5e-43,143.2,1.4,1,1,0,0,1,1,1,1,"DBBB"
"33","DBBC01000006.1_7","-","TIGR01044","TIGR01044",2.3e-46,152.7,1.5,2.6e-46,152.5,1.5,1,1,0,0,1,1,1,1,"DBBC"
"47","DBBD01000128.1_29","-","TIGR01044","TIGR01044",2.9e-41,136.6,2.3,3.3e-41,136.5,2.3,1,1,0,0,1,1,1,1,"DBBD"
"61","DBCA01000119.1_30","-","TIGR01044","TIGR01044",7.5e-28,92.8,4.3,8.4e-28,92.7,4.3,1,1,0,0,1,1,1,1,"DBCA"
"75","DBCY01000165.1_43","-","TIGR01044","TIGR01044",1.2e-43,144.8,0.1,1.4e-43,144.6,0.1,1,1,0,0,1,1,1,1,"DBCY"
"133","DBDL01000079.1_19","-","TIGR01044","TIGR01044",6.4e-37,123.1,0.1,9.8e-37,122.6,0.1,1.3,1,0,0,1,1,1,1,"DBDL"
"159","DBEH01000010.1_25","-","TIGR01044","TIGR01044",8.8e-45,147.7,2,1e-44,147.5,2,1,1,0,0,1,1,1,1,"DBEH"
"173","DBEP01000052.1_20","-","TIGR01044","TIGR01044",4.8e-40,134.1,0.7,7.1e-40,133.6,0.7,1.2,1,0,0,1,1,1,1,"DBEP"
"187","DBFV01000003.1_7","-","TIGR01044","TIGR01044",1.2e-40,135.5,0.8,1.4e-40,135.3,0.8,1,1,0,0,1,1,1,1,"DBFV"
"216","DBGC01000024.1_81","-","TIGR01044","TIGR01044",8.3e-47,155.6,3.3,9.4e-47,155.4,3.3,1,1,0,0,1,1,1,1,"DBGC"
"230","DBIE01000124.1_36","-","TIGR01044","TIGR01044",4.1e-40,133.5,0.4,4.7e-40,133.3,0.4,1,1,0,0,1,1,1,1,"DBIE"
"245","DBIU01000092.1_13","-","TIGR01044","TIGR01044",1.4e-37,124.8,0.7,1.6e-37,124.6,0.7,1,1,0,0,1,1,1,1,"DBIU"
"268","DBJE01000013.1_309","-","TIGR01044","TIGR01044",5.2e-25,83.9,0.1,5.2e-25,83.9,0.1,1.5,2,0,0,2,2,1,1,"DBJE"
"282","DBJF01000009.1_110","-","TIGR01044","TIGR01044",5.1e-25,83.9,0.1,5.1e-25,83.9,0.1,1.5,2,0,0,2,2,1,1,"DBJF"
"310","DBJP01000039.1_32","-","TIGR01044","TIGR01044",7.3e-40,131.6,1,9.1e-40,131.3,1,1.1,1,0,0,1,1,1,1,"DBJP"
"332","DBJX01000030.1_35","-","TIGR01044","TIGR01044",7.5e-40,131.6,1,9.4e-40,131.3,1,1.1,1,0,0,1,1,1,1,"DBJX"
"378","DBKN01000048.1_35","-","TIGR01044","TIGR01044",2.5e-37,123.9,0.1,2.9e-37,123.7,0.1,1,1,0,0,1,1,1,1,"DBKN"
"392","DBKT01000012.1_79","-","TIGR01044","TIGR01044",7.5e-32,105.9,1.8,7.5e-32,105.9,1.8,2,2,1,0,2,2,1,1,"DBKT"
"438","DBLD01000013.1_24","-","TIGR01044","TIGR01044",3.6e-30,99.8,3.5,3.6e-30,99.8,3.5,1.9,2,0,0,2,2,1,1,"DBLD"
"453","DBLR01000013.1_132","-","TIGR01044","TIGR01044",3.8e-47,155.7,2.6,4.6e-47,155.5,2.6,1.1,1,0,0,1,1,1,1,"DBLR"
"482","DBMJ01000012.1_48","-","TIGR01044","TIGR01044",5.8e-42,139.5,0.9,6.7e-42,139.3,0.9,1,1,0,0,1,1,1,1,"DBMJ"
"496","DBNY01000055.1_8","-","TIGR01044","TIGR01044",2.2e-29,97.5,2.2,2.5e-29,97.3,2.2,1,1,0,0,1,1,1,1,"DBNY"
"515","DBON01000103.1_21","-","TIGR01044","TIGR01044",5.2e-40,132.5,0.7,6.7e-40,132.1,0.7,1.1,1,0,0,1,1,1,1,"DBON"
"529","DBOO01000028.1_26","-","TIGR01044","TIGR01044",5.6e-35,116.3,1.8,6.5e-35,116.1,1.8,1,1,0,0,1,1,1,1,"DBOO"
"555","DBOV01000090.1_18","-","TIGR01044","TIGR01044",1.6e-41,137.2,0.3,1.8e-41,137,0.3,1,1,0,0,1,1,1,1,"DBOV"
"569","DBOW01000119.1_18","-","TIGR01044","TIGR01044",5e-41,135.8,1.8,6.6e-41,135.4,1.8,1.1,1,0,0,1,1,1,1,"DBOW"
"583","DBPD01000064.1_29","-","TIGR01044","TIGR01044",4.8e-40,132.6,0.4,6.7e-40,132.2,0.4,1.2,1,0,0,1,1,1,1,"DBPD"
"597","DBPF01000147.1_7","-","TIGR01044","TIGR01044",3.5e-43,143,1.2,3.9e-43,142.8,1.2,1,1,0,0,1,1,1,1,"DBPF"
"625","DBPK01000020.1_16","-","TIGR01044","TIGR01044",7.7e-38,125.3,0.1,9e-38,125,0.1,1,1,0,0,1,1,1,1,"DBPK"
"639","DBPP01000033.1_25","-","TIGR01044","TIGR01044",5.1e-41,136.1,0.1,5.9e-41,136,0.1,1,1,0,0,1,1,1,1,"DBPP"
"653","DBPX01000022.1_130","-","TIGR01044","TIGR01044",9.9e-37,121.8,0.4,1.1e-36,121.6,0.4,1,1,0,0,1,1,1,1,"DBPX"
"667","DBQB01000017.1_63","-","TIGR01044","TIGR01044",3.2e-40,133.6,0.3,3.6e-40,133.5,0.3,1,1,0,0,1,1,1,1,"DBQB"
"681","DBQC01000006.1_85","-","TIGR01044","TIGR01044",1.3e-39,131.2,0.1,1.5e-39,131,0.1,1,1,0,0,1,1,1,1,"DBQC"
"696","DBQM01000019.1_56","-","TIGR01044","TIGR01044",8e-41,135.5,0.2,9e-41,135.3,0.2,1,1,0,0,1,1,1,1,"DBQM"
"724","DBQQ01000052.1_100","-","TIGR01044","TIGR01044",2.9e-34,114.6,3.2,4.2e-34,114.1,3.2,1.2,1,0,0,1,1,1,1,"DBQQ"
"738","DBQR01000037.1_25","-","TIGR01044","TIGR01044",2.3e-31,104.7,0.6,2.7e-31,104.5,0.6,1,1,0,0,1,1,1,1,"DBQR"
"752","DBQV01000016.1_2","-","TIGR01044","TIGR01044",2.8e-38,127.1,0.9,3.7e-38,126.7,0.9,1.1,1,0,0,1,1,1,1,"DBQV"
"779","DBRE01000082.1_33","-","TIGR01044","TIGR01044",6.4e-45,148.7,1.4,7.4e-45,148.5,1.4,1,1,0,0,1,1,1,1,"DBRE"
"793","DBRF01000011.1_95","-","TIGR01044","TIGR01044",4.4e-43,142.1,0.1,5.2e-43,141.8,0.1,1,1,0,0,1,1,1,1,"DBRF"
"807","DBRM01000062.1_37","-","TIGR01044","TIGR01044",6.1e-43,142.2,0.4,6.8e-43,142,0.4,1,1,0,0,1,1,1,1,"DBRM"
"821","DBRT01000015.1_11","-","TIGR01044","TIGR01044",5e-27,90.1,1.8,6.6e-27,89.7,1.8,1.1,1,0,0,1,1,1,1,"DBRT"
"835","DBRU01000099.1_26","-","TIGR01044","TIGR01044",7.5e-41,135.4,0,8.5e-41,135.3,0,1,1,0,0,1,1,1,1,"DBRU"
"849","DBSD01000146.1_9","-","TIGR01044","TIGR01044",1.6e-44,147.8,0.5,2.3e-44,147.3,0.5,1.2,1,0,0,1,1,1,1,"DBSD"
"863","DBSM01000035.1_33","-","TIGR01044","TIGR01044",1.7e-44,147.8,0.5,2.4e-44,147.3,0.5,1.2,1,0,0,1,1,1,1,"DBSM"
"888","DBTM01000037.1_15","-","TIGR01044","TIGR01044",1.1e-38,129.3,0.1,1.3e-38,129.1,0.1,1,1,0,0,1,1,1,1,"DBTM"
"902","DBTU01000044.1_18","-","TIGR01044","TIGR01044",1.2e-35,119.7,0.3,1.8e-35,119.2,0.3,1.2,1,0,0,1,1,1,1,"DBTU"
"916","DBTX01000068.1_57","-","TIGR01044","TIGR01044",1.2e-34,116.2,0.6,1.6e-34,115.8,0.6,1.1,1,0,0,1,1,1,1,"DBTX"
"982","DBVV01000049.1_32","-","TIGR01044","TIGR01044",4e-35,117.2,0.3,5.2e-35,116.8,0.3,1.1,1,0,0,1,1,1,1,"DBVV"
"1019","DBWF01000030.1_21","-","TIGR01044","TIGR01044",8.8e-37,120.8,2.7,9.8e-37,120.6,2.7,1,1,0,0,1,1,1,1,"DBWF"
"1038","DBWH01000001.1_38","-","TIGR01044","TIGR01044",5.5e-34,113,0.5,7.1e-34,112.7,0.5,1.1,1,0,0,1,1,1,1,"DBWH"
"1053","DBWI01000009.1_22","-","TIGR01044","TIGR01044",3.2e-34,113.3,0.3,4.8e-34,112.7,0.3,1.3,1,0,0,1,1,1,1,"DBWI"
"1068","DBWJ01000003.1_15","-","TIGR01044","TIGR01044",1e-39,131.8,0.1,1.4e-39,131.3,0.1,1.2,1,0,0,1,1,1,1,"DBWJ"
"1126","DBWT01000016.1_22","-","TIGR01044","TIGR01044",2.2e-36,120.5,1.7,2.4e-36,120.3,1.7,1,1,0,0,1,1,1,1,"DBWT"
"1165","DBXA01000109.1_19","-","TIGR01044","TIGR01044",1.1e-39,132.2,0.9,1.4e-39,131.8,0.9,1.1,1,0,0,1,1,1,1,"DBXA"
"1199","DBXM01000010.1_7","-","TIGR01044","TIGR01044",1.5e-34,115.4,0.3,1.8e-34,115,0.3,1.1,1,0,0,1,1,1,1,"DBXM"
"1214","DBXS01000018.1_21","-","TIGR01044","TIGR01044",1.4e-34,115.1,1.3,1.7e-34,114.9,1.3,1,1,0,0,1,1,1,1,"DBXS"
"1230","DBXX01000032.1_11","-","TIGR01044","TIGR01044",1.2e-38,128.4,0,1.7e-38,128,0,1.2,1,0,0,1,1,1,1,"DBXX"
"1257","DBYE01000088.1_28","-","TIGR01044","TIGR01044",4.4e-39,129.7,0,5.4e-39,129.5,0,1.1,1,0,0,1,1,1,1,"DBYE"
"1271","DBYF01000025.1_38","-","TIGR01044","TIGR01044",4.3e-38,126.7,1.3,5.7e-38,126.3,1.3,1.1,1,0,0,1,1,1,1,"DBYF"
"1287","DBYK01000001.1_399","-","TIGR01044","TIGR01044",5.4e-33,109.2,0.3,6.3e-33,109,0.3,1,1,0,0,1,1,1,1,"DBYK"
"1301","DBYX01000001.1_32","-","TIGR01044","TIGR01044",3.7e-40,133.4,0.2,5.3e-40,132.9,0.2,1.2,1,0,0,1,1,1,1,"DBYX"
"1315","DBZN01000072.1_24","-","TIGR01044","TIGR01044",9.8e-50,163.9,2.7,1.1e-49,163.7,2.7,1,1,0,0,1,1,1,1,"DBZN"
"1341","DCCX01000005.1_71","-","TIGR01044","TIGR01044",4e-30,99.8,3.5,4e-30,99.8,3.5,1.9,2,0,0,2,2,1,1,"DCCX"
"1355","DCDB01000086.1_27","-","TIGR01044","TIGR01044",3.1e-36,121.1,0.6,4.3e-36,120.7,0.6,1.2,1,0,0,1,1,1,1,"DCDB"
"1369","DCDC01000216.1_7","-","TIGR01044","TIGR01044",2.6e-41,136.9,0.5,2.9e-41,136.8,0.5,1,1,0,0,1,1,1,1,"DCDC"
"1383","DCDL01000027.1_44","-","TIGR01044","TIGR01044",2.8e-40,134.5,0.7,3.3e-40,134.3,0.7,1,1,0,0,1,1,1,1,"DCDL"
"1422","DCDV01000022.1_22","-","TIGR01044","TIGR01044",2.7e-35,117.1,0.7,2.7e-35,117.1,0.7,1.4,2,0,0,2,2,1,1,"DCDV"
"1436","DCDW01000034.1_37","-","TIGR01044","TIGR01044",3.2e-41,136.8,0.7,3.8e-41,136.5,0.7,1.1,1,0,0,1,1,1,1,"DCDW"
"1453","DCDZ01000021.1_30","-","TIGR01044","TIGR01044",5.9e-38,126.4,0.5,5.9e-38,126.4,0.5,1.3,2,0,0,2,2,1,1,"DCDZ"
"1468","DCED01000130.1_22","-","TIGR01044","TIGR01044",7.6e-38,125.8,0.8,1e-37,125.4,0.8,1.2,1,0,0,1,1,1,1,"DCED"
"1482","DCEF01000020.1_226","-","TIGR01044","TIGR01044",2e-39,130.5,0.5,2.3e-39,130.3,0.5,1,1,0,0,1,1,1,1,"DCEF"
"1496","DCEI01000023.1_164","-","TIGR01044","TIGR01044",8.5e-40,132,0.2,9.8e-40,131.8,0.2,1,1,0,0,1,1,1,1,"DCEI"
"1510","DCEX01000013.1_40","-","TIGR01044","TIGR01044",6e-43,142.2,0.3,6.9e-43,142.1,0.3,1,1,0,0,1,1,1,1,"DCEX"
"1527","DCFA01000005.1_26","-","TIGR01044","TIGR01044",3.3e-39,129.8,0.7,3.7e-39,129.6,0.7,1,1,0,0,1,1,1,1,"DCFA"
"1541","DCFC01000035.1_92","-","TIGR01044","TIGR01044",5.2e-46,152.2,1.4,5.9e-46,152,1.4,1,1,0,0,1,1,1,1,"DCFC"
"1555","DCFN01000025.1_204","-","TIGR01044","TIGR01044",8.8e-44,145.1,1,1e-43,144.9,1,1,1,0,0,1,1,1,1,"DCFN"
"1569","DCFR01000086.1_36","-","TIGR01044","TIGR01044",7.3e-46,151.7,2.1,8.3e-46,151.6,2.1,1,1,0,0,1,1,1,1,"DCFR"
"1583","DCFU01000005.1_82","-","TIGR01044","TIGR01044",4e-45,149.8,1.2,4.6e-45,149.7,1.2,1,1,0,0,1,1,1,1,"DCFU"
"1597","DCFY01000004.1_13","-","TIGR01044","TIGR01044",2.9e-46,152.2,1.7,3.3e-46,152.1,1.7,1,1,0,0,1,1,1,1,"DCFY"
"1665","DCGL01000010.1_38","-","TIGR01044","TIGR01044",7.3e-39,129,0,8.6e-39,128.8,0,1,1,0,0,1,1,1,1,"DCGL"
"1728","DCGS01000012.1_10","-","TIGR01044","TIGR01044",1.2e-38,128,0.8,1.4e-38,127.8,0.8,1,1,0,0,1,1,1,1,"DCGS"
"1742","DCGT01000022.1_12","-","TIGR01044","TIGR01044",1.8e-39,130.3,0.1,2.1e-39,130.1,0.1,1,1,0,0,1,1,1,1,"DCGT"
"1756","DCGU01000002.1_38","-","TIGR01044","TIGR01044",1.4e-40,134.4,0,1.6e-40,134.2,0,1,1,0,0,1,1,1,1,"DCGU"
"1770","DCGW01000070.1_34","-","TIGR01044","TIGR01044",1.1e-35,118.4,0.2,1.2e-35,118.2,0.2,1,1,0,0,1,1,1,1,"DCGW"
"1817","DCHD01000004.1_44","-","TIGR01044","TIGR01044",1.1e-41,137.8,2.6,1.3e-41,137.6,2.6,1,1,0,0,1,1,1,1,"DCHD"
"1836","DCHF01000001.1_120","-","TIGR01044","TIGR01044",7.6e-39,129.4,0,9.4e-39,129.1,0,1.1,1,0,0,1,1,1,1,"DCHF"
"1878","DCHM01000028.1_45","-","TIGR01044","TIGR01044",1.1e-28,95.8,0.3,1.3e-28,95.6,0.3,1,1,0,0,1,1,1,1,"DCHM"
"1892","DCHO01000004.1_55","-","TIGR01044","TIGR01044",1.5e-38,128.4,0.2,2e-38,127.9,0.2,1.2,1,0,0,1,1,1,1,"DCHO"
"1912","DCHU01000026.1_55","-","TIGR01044","TIGR01044",8.1e-31,102.8,4.1,8.1e-31,102.8,4.1,2,2,1,0,2,2,1,1,"DCHU"
"1926","DCHW01000016.1_18","-","TIGR01044","TIGR01044",8.4e-42,138.2,4.6,1e-41,137.9,4.6,1,1,0,0,1,1,1,1,"DCHW"
"1940","DCHX01000021.1_35","-","TIGR01044","TIGR01044",1.7e-35,117.5,0.2,1.9e-35,117.3,0.2,1,1,0,0,1,1,1,1,"DCHX"
"1954","DCHY01000029.1_34","-","TIGR01044","TIGR01044",3.2e-42,139,0.1,3.8e-42,138.7,0.1,1,1,0,0,1,1,1,1,"DCHY"
"1968","DCHZ01000023.1_8","-","TIGR01044","TIGR01044",1.8e-35,117.7,0.1,2e-35,117.5,0.1,1,1,0,0,1,1,1,1,"DCHZ"
"1982","DCIA01000008.1_37","-","TIGR01044","TIGR01044",1.5e-40,133.8,0.2,1.7e-40,133.7,0.2,1,1,0,0,1,1,1,1,"DCIA"
"1996","DCIE01000019.1_75","-","TIGR01044","TIGR01044",6.3e-36,119.5,0.1,7.2e-36,119.4,0.1,1,1,0,0,1,1,1,1,"DCIE"
"2010","DCII01000054.1_48","-","TIGR01044","TIGR01044",4.2e-41,136.1,0.5,5e-41,135.9,0.5,1,1,0,0,1,1,1,1,"DCII"
"2025","DCIK01000020.1_21","-","TIGR01044","TIGR01044",2.8e-34,114,0.3,3.2e-34,113.8,0.3,1,1,0,0,1,1,1,1,"DCIK"
"2042","DCIT01000054.1_16","-","TIGR01044","TIGR01044",4.5e-32,106.1,1.8,4.5e-32,106.1,1.8,1.6,2,0,0,2,2,1,1,"DCIT"
"2056","DCJA01000033.1_33","-","TIGR01044","TIGR01044",5.4e-41,135.8,0.5,7.7e-41,135.3,0.5,1.2,1,0,0,1,1,1,1,"DCJA"
"2070","DCJD01000010.1_31","-","TIGR01044","TIGR01044",1.8e-35,116.9,4.1,2e-35,116.7,4.1,1,1,0,0,1,1,1,1,"DCJD"
"2097","DCJJ01000161.1_44","-","TIGR01044","TIGR01044",9.2e-39,128.5,4.5,1e-38,128.4,4.5,1,1,0,0,1,1,1,1,"DCJJ"
"2111","DCJK01000014.1_27","-","TIGR01044","TIGR01044",3e-37,123.9,0,3.5e-37,123.7,0,1,1,0,0,1,1,1,1,"DCJK"
"2125","DCJL01000017.1_37","-","TIGR01044","TIGR01044",2.1e-36,121.1,0.1,2.4e-36,120.9,0.1,1,1,0,0,1,1,1,1,"DCJL"
"2139","DCJQ01000035.1_78","-","TIGR01044","TIGR01044",1.3e-41,137.7,2.6,1.5e-41,137.5,2.6,1,1,0,0,1,1,1,1,"DCJQ"
"2153","DCJV01000099.1_15","-","TIGR01044","TIGR01044",6.7e-42,138.9,0.7,7.8e-42,138.7,0.7,1,1,0,0,1,1,1,1,"DCJV"
"2167","DCKB01000051.1_17","-","TIGR01044","TIGR01044",6.9e-44,145.4,1.7,9.1e-44,145,1.7,1.2,1,0,0,1,1,1,1,"DCKB"
"2181","DCKD01000040.1_21","-","TIGR01044","TIGR01044",9.4e-41,135.6,0.3,1.3e-40,135.1,0.3,1.2,1,0,0,1,1,1,1,"DCKD"
"2195","DCLI01000015.1_30","-","TIGR01044","TIGR01044",5e-43,143.6,0.9,5.7e-43,143.4,0.9,1,1,0,0,1,1,1,1,"DCLI"
"2209","DCLJ01000103.1_37","-","TIGR01044","TIGR01044",3.7e-52,173.1,3.4,4.3e-52,172.9,3.4,1,1,0,0,1,1,1,1,"DCLJ"
"2223","DCMK01000017.1_20","-","TIGR01044","TIGR01044",7.2e-30,99.6,3.5,7.2e-30,99.6,3.5,1.8,2,0,0,2,2,1,1,"DCMK"
"2240","DCPV01000068.1_40","-","TIGR01044","TIGR01044",5.8e-44,146,0.2,6.7e-44,145.9,0.2,1,1,0,0,1,1,1,1,"DCPV"
"2261","DCTF01000157.1_1","-","TIGR01044","TIGR01044",1.1e-37,125.1,2.1,1.2e-37,124.9,2.1,1,1,0,0,1,1,1,1,"DCTF"
"2282","DCTH01000201.1_16","-","TIGR01044","TIGR01044",7.8e-46,151.7,0.8,8.9e-46,151.6,0.8,1,1,0,0,1,1,1,1,"DCTH"
"2342","DCTV01000067.1_15","-","TIGR01044","TIGR01044",8.8e-45,147.7,1.4,1.1e-44,147.4,1.4,1.1,1,0,0,1,1,1,1,"DCTV"
"2369","DCTZ01000005.1_54","-","TIGR01044","TIGR01044",1.2e-38,127.9,3.7,1.3e-38,127.7,3.7,1,1,0,0,1,1,1,1,"DCTZ"
"2383","DCUA01000226.1_25","-","TIGR01044","TIGR01044",2.6e-37,124.3,0.2,3e-37,124.1,0.2,1,1,0,0,1,1,1,1,"DCUA"
"2397","DCUB01000012.1_73","-","TIGR01044","TIGR01044",3.8e-42,139.6,0.2,4.5e-42,139.4,0.2,1,1,0,0,1,1,1,1,"DCUB"
"2411","DCUC01000061.1_27","-","TIGR01044","TIGR01044",2.4e-33,110.5,1,3.3e-33,110,1,1.2,1,0,0,1,1,1,1,"DCUC"
"2432","DCYG01000034.1_10","-","TIGR01044","TIGR01044",1.4e-39,132.1,0.1,1.6e-39,131.9,0.1,1,1,0,0,1,1,1,1,"DCYG"
"2458","DCZJ01000201.1_25","-","TIGR01044","TIGR01044",5.3e-40,132.6,0,6e-40,132.5,0,1,1,0,0,1,1,1,1,"DCZJ"
"2475","DDAM01000005.1_63","-","TIGR01044","TIGR01044",2.6e-44,147.1,0.4,3e-44,146.9,0.4,1,1,0,0,1,1,1,1,"DDAM"
"2489","DDBQ01000080.1_7","-","TIGR01044","TIGR01044",9.8e-40,132.7,0.3,1.3e-39,132.3,0.3,1.1,1,0,0,1,1,1,1,"DDBQ"
"2528","DDJI01000108.1_62","-","TIGR01044","TIGR01044",1.5e-40,134.2,0.3,1.7e-40,134.1,0.3,1,1,0,0,1,1,1,1,"DDJI"
"2542","DDKM01000081.1_7","-","TIGR01044","TIGR01044",2e-47,156.8,1.6,2.3e-47,156.6,1.6,1,1,0,0,1,1,1,1,"DDKM"
"2572","DDLY01000087.1_2","-","TIGR01044","TIGR01044",1.5e-40,134.3,2.1,1.7e-40,134.1,2.1,1,1,0,0,1,1,1,1,"DDLY"
"2586","DDMB01000055.1_29","-","TIGR01044","TIGR01044",1.6e-40,134.3,2.1,1.8e-40,134.1,2.1,1,1,0,0,1,1,1,1,"DDMB"
"2601","DDNC01000025.1_24","-","TIGR01044","TIGR01044",1.2e-39,132.2,0.2,1.4e-39,132,0.2,1,1,0,0,1,1,1,1,"DDNC"
"2617","DDOV01000031.1_7","-","TIGR01044","TIGR01044",3.4e-43,144.1,0.6,3.9e-43,143.9,0.6,1,1,0,0,1,1,1,1,"DDOV"
"2646","DDQW01000031.1_27","-","TIGR01044","TIGR01044",5.2e-44,146.5,0.5,7.4e-44,146,0.5,1.2,1,0,0,1,1,1,1,"DDQW"
"2663","DDWA01000026.1_54","-","TIGR01044","TIGR01044",6.3e-43,141.6,1.3,7.2e-43,141.4,1.3,1,1,0,0,1,1,1,1,"DDWA"
"2677","DDWC01000188.1_10","-","TIGR01044","TIGR01044",7.7e-28,94,1.2,8.6e-28,93.8,1.2,1,1,0,0,1,1,1,1,"DDWC"
"2708","DDXD01000206.1_9","-","TIGR01044","TIGR01044",2.9e-45,149.6,1.9,3.3e-45,149.4,1.9,1,1,0,0,1,1,1,1,"DDXD"
"2722","DDXI01000093.1_37","-","TIGR01044","TIGR01044",1.3e-45,150.9,3.1,1.5e-45,150.7,3.1,1,1,0,0,1,1,1,1,"DDXI"
"2736","DDXL01000046.1_56","-","TIGR01044","TIGR01044",2.4e-38,127.3,0.2,2.7e-38,127.1,0.2,1,1,0,0,1,1,1,1,"DDXL"
"2750","DDYG01000081.1_61","-","TIGR01044","TIGR01044",1.1e-41,138.7,0.4,1.3e-41,138.5,0.4,1,1,0,0,1,1,1,1,"DDYG"
"2765","DDYT01000030.1_48","-","TIGR01044","TIGR01044",2.8e-38,127.2,2.6,3.1e-38,127.1,2.6,1,1,0,0,1,1,1,1,"DDYT"
"2790","DEBX01000062.1_54","-","TIGR01044","TIGR01044",2e-42,141,0.3,2.8e-42,140.5,0.3,1.2,1,0,0,1,1,1,1,"DEBX"
"2804","DEBY01000001.1_34","-","TIGR01044","TIGR01044",6e-42,138.9,1.3,6.9e-42,138.7,1.3,1,1,0,0,1,1,1,1,"DEBY"
"2818","DEBZ01000014.1_9","-","TIGR01044","TIGR01044",1.3e-38,128.9,1.7,1.7e-38,128.5,1.7,1.2,1,0,0,1,1,1,1,"DEBZ"
"2879","DECK01000160.1_8","-","TIGR01044","TIGR01044",2.6e-41,137.1,0.5,3.6e-41,136.6,0.5,1.2,1,0,0,1,1,1,1,"DECK"
"2893","DECU01000017.1_11","-","TIGR01044","TIGR01044",1.8e-36,120.8,0.4,2.1e-36,120.6,0.4,1,1,0,0,1,1,1,1,"DECU"
"2907","DECV01000042.1_73","-","TIGR01044","TIGR01044",3.1e-39,130.1,0.8,3.5e-39,129.9,0.8,1,1,0,0,1,1,1,1,"DECV"
"2921","DECX01000004.1_32","-","TIGR01044","TIGR01044",1.2e-34,114.5,3.2,1.4e-34,114.3,3.2,1,1,0,0,1,1,1,1,"DECX"
"2935","DEDB01000037.1_26","-","TIGR01044","TIGR01044",2.9e-36,120.5,0,3.9e-36,120.1,0,1.1,1,0,0,1,1,1,1,"DEDB"
"2964","DEDH01000043.1_44","-","TIGR01044","TIGR01044",9.5e-39,128.5,4.5,1.1e-38,128.4,4.5,1,1,0,0,1,1,1,1,"DEDH"
"3011","DEDK01000135.1_1","-","TIGR01044","TIGR01044",1.7e-29,99.4,0.1,2.1e-29,99.1,0.1,1,1,0,0,1,1,1,1,"DEDK"
"3026","DEDL01000031.1_30","-","TIGR01044","TIGR01044",7.3e-40,132.2,0.1,1e-39,131.7,0.1,1.2,1,0,0,1,1,1,1,"DEDL"
"3041","DEDM01000022.1_44","-","TIGR01044","TIGR01044",8.4e-41,135.7,0.8,1e-40,135.4,0.8,1.1,1,0,0,1,1,1,1,"DEDM"
