"","Nuccore_ID","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Definition","Source","WW_IDs","Spore.Forming.(Weller.and.Wu)","Spore.Genes.(Weller.and.Wu)","Genus","Species","Assembly","Phylum","Class","Order","Family"
"2538","NC_021184.1","lcl|NC_021184.1_prot_WP_006522859.1_349","-","NOG.COG0094.clustalo_raw","-",5.1e-57,191.9,0.1,5.8e-57,191.7,0.1,1,1,0,0,1,1,1,1,"Desulfotomaculum gibsoniae DSM 7213, complete genome","Desulfotomaculum gibsoniae DSM 7213","Desulfotomaculum gibsoniae ","Y","70","Desulfotomaculum","gibsoniae","GCF_000233715.2","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2552","NC_021362.1","lcl|NC_021362.1_prot_WP_020449865.1_132","-","NOG.COG0094.clustalo_raw","-",3.4e-56,189.1,0.4,3.7e-56,189,0.4,1,1,0,0,1,1,1,1,"Bacillus paralicheniformis ATCC 9945a, complete genome","Bacillus paralicheniformis ATCC 9945a","Bacillus licheniformis ","Y","113","Bacillus","paralicheniformis","GCF_000408885.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2566","NC_021744.1","lcl|NC_021744.1_prot_WP_003625800.1_2062","-","NOG.COG0094.clustalo_raw","-",2.1e-52,175.7,0,2.4e-52,175.4,0,1,1,0,0,1,1,1,1,"Lactobacillus helveticus CNRZ32, complete genome","Lactobacillus helveticus CNRZ32","Lactobacillus helveticus ","N","14","Lactobacillus","helveticus","GCF_000422165.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2581","NC_021994.1","lcl|NC_021994.1_prot_WP_002288671.1_71","-","NOG.COG0094.clustalo_raw","-",4e-56,188.5,0.3,4.3e-56,188.4,0.3,1,1,0,0,1,1,1,1,"Enterococcus faecium Aus0085, complete genome","Enterococcus faecium Aus0085","Enterococcus faecium ","N","18","Enterococcus","faecium","GCF_000444405.1","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"2595","NC_022080.4","lcl|NC_022080.4_prot_WP_020958369.1_120","-","NOG.COG0094.clustalo_raw","-",2e-56,189.6,0.2,2.2e-56,189.4,0.2,1,1,0,0,1,1,1,1,"Geobacillus genomosp. 3 strain JF8, complete genome","Geobacillus genomosp. 3","Geobacillus sp. JF8","Y","107","Geobacillus","genomosp.","GCF_000445995.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2609","NC_022237.1","lcl|NC_022237.1_prot_WP_003075186.1_1708","-","NOG.COG0094.clustalo_raw","-",7.6e-53,176.9,0,8.3e-53,176.7,0,1,1,0,0,1,1,1,1,"Streptococcus intermedius C270, complete genome","Streptococcus intermedius C270","Streptococcus intermedius ","N","15","Streptococcus","intermedius","GCF_000463385.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2623","NC_022524.1","lcl|NC_022524.1_prot_WP_009791317.1_130","-","NOG.COG0094.clustalo_raw","-",3.9e-56,189.1,0.3,4.2e-56,189,0.3,1,1,0,0,1,1,1,1,"Bacillus infantis NRRL B-14911, complete genome","Bacillus infantis NRRL B-14911","Bacillus infantis ","Y","119","Bacillus","infantis","GCF_000473245.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2637","NC_022571.1","lcl|NC_022571.1_prot_WP_022743560.1_182","-","NOG.COG0094.clustalo_raw","-",2.4e-54,183,0.5,2.6e-54,182.9,0.5,1,1,0,0,1,1,1,1,"Clostridium saccharobutylicum DSM 13864, complete genome","Clostridium saccharobutylicum DSM 13864","Clostridium saccharobutylicum ","Y","65","Clostridium","saccharobutylicum","GCF_000473995.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2653","NC_022584.1","lcl|NC_022584.1_prot_WP_006595184.1_1548","-","NOG.COG0094.clustalo_raw","-",7.6e-53,176.9,0,8.3e-53,176.7,0,1,1,0,0,1,1,1,1,"Streptococcus sp. I-G2, complete genome","Streptococcus sp. I-G2","Streptococcus sp. I-G2","N","14","Streptococcus","sp. I-G2","GCF_000479335.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2667","NC_022592.1","lcl|NC_022592.1_prot_WP_013240680.1_1901","-","NOG.COG0094.clustalo_raw","-",2e-57,193.1,0.2,2.2e-57,193,0.2,1,1,0,0,1,1,1,1,"Clostridium autoethanogenum DSM 10061, complete genome","Clostridium autoethanogenum DSM 10061","Clostridium autoethanogenum ","Y","71","Clostridium","autoethanogenum","GCF_000484505.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2681","NC_022606.1","lcl|NC_022606.1_prot_WP_023179552.1_2062","-","NOG.COG0094.clustalo_raw","-",4.2e-54,181.3,0.2,4.9e-54,181.1,0.2,1,1,0,0,1,1,1,1,"Carnobacterium inhibens subsp. gilichinskyi strain WN1359, complete genome","Carnobacterium inhibens subsp. gilichinskyi strain WN1359","Carnobacterium sp. WN1359","N","16","Carnobacterium","inhibens","GCF_000493735.1","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae"
"2695","NC_022777.1","lcl|NC_022777.1_prot_WP_023439595.1_2621","-","NOG.COG0094.clustalo_raw","-",8.7e-58,193.7,0.6,9.5e-58,193.6,0.6,1,1,0,0,1,1,1,1,"Clostridium tetani 12124569 main chromosome, complete genome","Clostridium tetani 12124569","Clostridium tetani ","Y","62","Clostridium","tetani","GCF_000967115.2","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2709","NC_022780.1","lcl|NC_022780.1_prot_WP_023440649.1_1305","-","NOG.COG0094.clustalo_raw","-",4.3e-53,177.5,0.1,4.7e-53,177.4,0.1,1,1,0,0,1,1,1,1,"Pediococcus pentosaceus SL4, complete genome","Pediococcus pentosaceus SL4","Pediococcus pentosaceus ","N","11","Pediococcus","pentosaceus","GCF_000496265.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2723","NC_022794.1","lcl|NC_022794.1_prot_WP_023466635.1_92","-","NOG.COG0094.clustalo_raw","-",3.6e-57,191.9,0.4,4.2e-57,191.7,0.4,1,1,0,0,1,1,1,1,"Exiguobacterium sp. MH3, complete genome","Exiguobacterium sp. MH3","Exiguobacterium sp. MH3","N","29","Exiguobacterium","sp. MH3","GCF_000496635.1","Firmicutes","Bacilli","Bacillales","Bacillales Family XII. Incertae Sedis"
"2737","NZ_AXDU01000016.1","lcl|NZ_AXDU01000016.1_prot_WP_003720938.1_1726","-","NOG.COG0094.clustalo_raw","-",1.6e-53,179.8,0.1,1.9e-53,179.6,0.1,1,1,0,0,1,1,1,1,"Listeria monocytogenes N53-1 N53-1_contig_23, whole genome shotgun sequence","Listeria monocytogenes N53-1","Listeria monocytogenes ","N","20","Listeria","monocytogenes","GCF_000626575.1","Firmicutes","Bacilli","Bacillales","Listeriaceae"
"2751","NZ_CP019962.1","lcl|NZ_CP019962.1_prot_WP_038354267.1_1254","-","NOG.COG0094.clustalo_raw","-",8.1e-50,168,0.1,9.4e-50,167.8,0.1,1,1,0,0,1,1,1,1,"Eubacterium limosum strain ATCC 8486 chromosome, complete genome","Eubacterium limosum","Eubacterium limosum ","N","19","Eubacterium","limosum","GCF_000807675.2","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"2765","NZ_CP027570.1","lcl|NZ_CP027570.1_prot_WP_014015747.1_1046","-","NOG.COG0094.clustalo_raw","-",5.6e-55,184.2,0.5,6.6e-55,184,0.5,1,1,0,0,1,1,1,1,"Megasphaera elsdenii DSM 20460 strain ATCC 25940 chromosome, complete genome","Megasphaera elsdenii DSM 20460 strain ATCC 25940","Megasphaera elsdenii ","N","18","Megasphaera","elsdenii","GCF_003010495.1","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae"
"2779","NZ_KI912609.1","lcl|NZ_KI912609.1_prot_WP_015051608.1_2642","-","NOG.COG0094.clustalo_raw","-",1.5e-59,199.6,0.3,1.7e-59,199.4,0.3,1,1,0,0,1,1,1,1,"Thermacetogenium phaeum DSM 12270 THEPHDRAFT_scaffold00002.2, whole genome shotgun sequence","Thermacetogenium phaeum DSM 12270","Thermacetogenium phaeum ","Y","56","Thermacetogenium","phaeum","GCF_000519285.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"2793","NZ_MKIE01000003.1","lcl|NZ_MKIE01000003.1_prot_WP_071062297.1_964","-","NOG.COG0094.clustalo_raw","-",1.1e-53,180,0.2,1.2e-53,179.9,0.2,1,1,0,0,1,1,1,1,"Andreesenia angusta strain DSM 1989 EUAN_contig000003, whole genome shotgun sequence","Andreesenia angusta strain DSM 1989","butyrate-producing bacterium SSC/2","Y","41","Andreesenia","angusta","GCF_001855385.1","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae"
"2807","NZ_OLKO01000017.1","lcl|NZ_OLKO01000017.1_prot_WP_015523198.1_816","-","NOG.COG0094.clustalo_raw","-",2e-54,182.3,0,2.2e-54,182.2,0,1,1,0,0,1,1,1,1,"Ruminococcus bromii L2-63, whole genome shotgun sequence","Ruminococcus bromii L2-63","Ruminococcus bromii ","Y","30","Ruminococcus","bromii","GCF_900291485.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"5","AP009389.1","lcl|AP009389.1_prot_BAF58514.1_333","-","NOG.COG0096.clustalo_raw","-",3e-30,102,0,3.3e-30,101.8,0,1,1,0,0,1,1,1,1,"Pelotomaculum thermopropionicum SI DNA, complete genome","Pelotomaculum thermopropionicum SI","Pelotomaculum thermopropionicum ","Y","69","Pelotomaculum","thermopropionicum","GCA_000010565.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"15","CP000407.1","lcl|CP000407.1_prot_ABP89056.1_82","-","NOG.COG0096.clustalo_raw","-",4.4e-28,94.3,0.1,4.9e-28,94.2,0.1,1,1,0,0,1,1,1,1,"Streptococcus suis 05ZYH33, complete genome","Streptococcus suis 05ZYH33","Streptococcus suis ","N","15","Streptococcus","suis","GCA_000014305.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"30","CP000817.1","lcl|CP000817.1_prot_ACA42044.1_4398","-","NOG.COG0096.clustalo_raw","-",1.8e-28,96.8,0.1,1.9e-28,96.6,0.1,1,1,0,0,1,1,1,1,"Lysinibacillus sphaericus C3-41, complete genome","Lysinibacillus sphaericus C3-41","Lysinibacillus sphaericus ","Y","69","Lysinibacillus","sphaericus","GCA_000017965.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"45","CP002770.1","lcl|CP002770.1_prot_AEG16539.1_2889","-","NOG.COG0096.clustalo_raw","-",1.1e-29,100.3,0,1.2e-29,100.1,0,1,1,0,0,1,1,1,1,"Desulfotomaculum kuznetsovii DSM 6115, complete genome","Desulfofundulus kuznetsovii DSM 6115","Desulfotomaculum kuznetsovii ","Y","70","Desulfofundulus","kuznetsovii","GCA_000214705.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"59","CP002901.1","lcl|CP002901.1_prot_AEJ38539.1_311","-","NOG.COG0096.clustalo_raw","-",6.9e-30,101.1,0,7.6e-30,101,0,1,1,0,0,1,1,1,1,"Sulfobacillus acidophilus TPY, complete genome","Sulfobacillus acidophilus TPY","Sulfobacillus acidophilus ","Y","57","Sulfobacillus","acidophilus","GCA_000219855.1","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis"
"73","CP003184.1","lcl|CP003184.1_prot_AFK86041.1_1003","-","NOG.COG0096.clustalo_raw","-",4.7e-29,97.9,0.1,5.2e-29,97.8,0.1,1,1,0,0,1,1,1,1,"Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete genome","Thermoanaerobacterium saccharolyticum JW/SL-YS485","Thermoanaerobacterium saccharolyticum ","Y","62","Thermoanaerobacterium","saccharolyticum","GCA_000307585.2","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis"
"87","CP003919.2","lcl|CP003919.2_prot_AFV71563.1_212","-","NOG.COG0096.clustalo_raw","-",1.1e-28,96,0.1,1.2e-28,95.9,0.1,1,1,0,0,1,1,1,1,"Streptococcus agalactiae strain SA20, complete genome","Streptococcus agalactiae","Streptococcus agalactiae ","N","14","Streptococcus","agalactiae","GCA_000302475.3","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"102","CP005941.1","lcl|CP005941.1_prot_AGM97900.1_71","-","NOG.COG0096.clustalo_raw","-",8.6e-30,100,0.1,9.5e-30,99.8,0.1,1,1,0,0,1,1,1,1,"Streptococcus iniae SF1, complete genome","Streptococcus iniae SF1","Streptococcus iniae ","N","13","Streptococcus","iniae","GCA_000403625.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"116","FN545816.1","lcl|FN545816.1_prot_CBE01604.1_83","-","NOG.COG0096.clustalo_raw","-",1.9e-28,96.2,0.2,2.1e-28,96.1,0.2,1,1,0,0,1,1,1,1,"Clostridium difficile R20291 complete genome","Clostridioides difficile R20291","Peptoclostridium difficile ","Y","56","Clostridioides","difficile","GCA_000027105.1","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"187","FP929045.1","lcl|FP929045.1_prot_CBK98973.1_1246","-","NOG.COG0096.clustalo_raw","-",6.8e-28,94,0,7.5e-28,93.9,0,1,1,0,0,1,1,1,1,"Faecalibacterium prausnitzii L2/6 draft genome","Faecalibacterium prausnitzii L2-6","Faecalibacterium prausnitzii L2-6","N","35","Faecalibacterium","prausnitzii","GCA_000210735.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"189","FP929046.1","lcl|FP929046.1_prot_CBL01483.1_1000","-","NOG.COG0096.clustalo_raw","-",6.7e-28,94.1,0.1,7.4e-28,93.9,0.1,1,1,0,0,1,1,1,1,"Faecalibacterium prausnitzii SL3/3 draft genome","Faecalibacterium prausnitzii SL3/3","Faecalibacterium prausnitzii SL3/3","N","35","Faecalibacterium","prausnitzii","GCA_000209855.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"269","NC_002570.2","lcl|NC_002570.2_prot_WP_010896331.1_150","-","NOG.COG0096.clustalo_raw","-",2e-31,106.3,0.1,2.2e-31,106.2,0.1,1,1,0,0,1,1,1,1,"Bacillus halodurans C-125 DNA, complete genome","Bacillus halodurans C-125","Bacillus halodurans ","Y","100","Bacillus","halodurans","GCF_000011145.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"283","NC_002737.2","lcl|NC_002737.2_prot_NP_268474.1_51","-","NOG.COG0096.clustalo_raw","-",2.2e-29,98.3,0.2,2.4e-29,98.2,0.2,1,1,0,0,1,1,1,1,"Streptococcus pyogenes M1 GAS, complete genome","Streptococcus pyogenes M1 GAS","Streptococcus pyogenes ","N","12","Streptococcus","pyogenes","GCF_000006785.2","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"298","NC_003869.1","lcl|NC_003869.1_prot_WP_011026324.1_2155","-","NOG.COG0096.clustalo_raw","-",1.5e-31,106.1,0,1.6e-31,106,0,1,1,0,0,1,1,1,1,"Thermoanaerobacter tengcongensis MB4, complete genome","Thermoanaerobacter tengcongensis MB4","Thermoanaerobacter tengcongensis ","Y","63","Thermoanaerobacter","tengcongensis","GCF_000007085.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"312","NC_004193.1","lcl|NC_004193.1_prot_WP_011064536.1_134","-","NOG.COG0096.clustalo_raw","-",7.1e-28,94.3,0,7.9e-28,94.2,0,1,1,0,0,1,1,1,1,"Oceanobacillus iheyensis HTE831 DNA, complete genome","Oceanobacillus iheyensis HTE831","Oceanobacillus iheyensis ","Y","88","Oceanobacillus","iheyensis","GCF_000011245.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"327","NC_004461.1","lcl|NC_004461.1_prot_NP_765364.1_1809","-","NOG.COG0096.clustalo_raw","-",5.8e-28,94.1,0.1,6.4e-28,94,0.1,1,1,0,0,1,1,1,1,"Staphylococcus epidermidis ATCC 12228 chromosome, complete genome","Staphylococcus epidermidis ATCC 12228","Staphylococcus epidermidis ","N","14","Staphylococcus","epidermidis","GCF_000007645.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"343","NC_006177.1","lcl|NC_006177.1_prot_WP_011197176.1_2948","-","NOG.COG0096.clustalo_raw","-",2.4e-30,102.4,0,2.6e-30,102.3,0,1,1,0,0,1,1,1,1,"Symbiobacterium thermophilum IAM 14863 DNA, complete genome","Symbiobacterium thermophilum IAM 14863","Symbiobacterium thermophilum ","Y","64","Symbiobacterium","thermophilum","GCF_000009905.1","Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae"
"357","NC_006582.1","lcl|NC_006582.1_prot_WP_011245028.1_165","-","NOG.COG0096.clustalo_raw","-",1.4e-28,97,0,1.5e-28,96.8,0,1,1,0,0,1,1,1,1,"Bacillus clausii KSM-K16 DNA, complete genome","Bacillus clausii KSM-K16","Bacillus clausii ","Y","92","Bacillus","clausii","GCF_000009825.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"374","NC_007168.1","lcl|NC_007168.1_prot_WP_011275134.1_770","-","NOG.COG0096.clustalo_raw","-",5.5e-28,94.3,0.1,6.1e-28,94.1,0.1,1,1,0,0,1,1,1,1,"Staphylococcus haemolyticus JCSC1435 DNA, complete genome","Staphylococcus haemolyticus JCSC1435 DNA","Staphylococcus haemolyticus ","N","15","Staphylococcus","haemolyticus","GCF_000009865.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"385","NC_007350.1","lcl|NC_007350.1_prot_WP_002482626.1_653","-","NOG.COG0096.clustalo_raw","-",1.7e-26,89.3,0.1,1.8e-26,89.1,0.1,1,1,0,0,1,1,1,1,"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA, complete genome","Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305","Staphylococcus saprophyticus ","N","16","Staphylococcus","saprophyticus","GCF_000010125.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"400","NC_007503.1","lcl|NC_007503.1_prot_WP_011345177.1_2091","-","NOG.COG0096.clustalo_raw","-",1e-31,106.5,0,1.1e-31,106.4,0,1,1,0,0,1,1,1,1,"Carboxydothermus hydrogenoformans Z-2901, complete genome","Carboxydothermus hydrogenoformans Z-2901","Carboxydothermus hydrogenoformans","Y","57","Carboxydothermus","hydrogenoformans","GCF_000012865.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"418","NC_007576.1","lcl|NC_007576.1_prot_WP_011375440.1_1680","-","NOG.COG0096.clustalo_raw","-",8.2e-29,96.5,0.1,9.1e-29,96.3,0.1,1,1,0,0,1,1,1,1,"Lactobacillus sakei strain 23K complete genome","Lactobacillus sakei strain 23K","Lactobacillus sakei ","N","14","Lactobacillus","sakei","GCF_000026065.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"432","NC_007644.1","lcl|NC_007644.1_prot_YP_431271.1_2383","-","NOG.COG0096.clustalo_raw","-",9.6e-29,96.7,0,1.1e-28,96.6,0,1,1,0,0,1,1,1,1,"Moorella thermoacetica ATCC 39073 chromosome, complete genome","Moorella thermoacetica ATCC 39073 chromosome","Moorella thermoacetica ","Y","68","Moorella","thermoacetica","GCF_000013105.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"442","NC_007929.1","lcl|NC_007929.1_prot_YP_536308.1_1402","-","NOG.COG0096.clustalo_raw","-",3.2e-29,98,0.1,3.5e-29,97.8,0.1,1,1,0,0,1,1,1,1,"Lactobacillus salivarius UCC118 chromosome, complete genome","Lactobacillus salivarius UCC118","Lactobacillus salivarius ","N","17","Lactobacillus","salivarius","GCF_000008925.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"456","NC_008054.1","lcl|NC_008054.1_prot_WP_002878190.1_347","-","NOG.COG0096.clustalo_raw","-",1.8e-30,102,0,2e-30,101.8,0,1,1,0,0,1,1,1,1,"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 complete genome","Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842","Lactobacillus delbrueckii ","N","12","Lactobacillus","delbrueckii","GCF_000056065.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"470","NC_008261.1","lcl|NC_008261.1_prot_WP_003454446.1_2561","-","NOG.COG0096.clustalo_raw","-",8e-22,74,0,8.8e-22,73.8,0,1,1,0,0,1,1,1,1,"Clostridium perfringens ATCC 13124, complete genome","Clostridium perfringens ATCC 13124","Clostridium perfringens ","Y","61","Clostridium","perfringens","GCF_000013285.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"488","NC_008346.1","lcl|NC_008346.1_prot_WP_011641694.1_2361","-","NOG.COG0096.clustalo_raw","-",4.8e-31,104.4,0.1,5.4e-31,104.3,0.1,1,1,0,0,1,1,1,1,"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311, complete genome","Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","Syntrophomonas wolfei ","Y","61","Syntrophomonas","wolfei","GCF_000014725.1","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae"
"499","NC_008526.1","lcl|NC_008526.1_prot_YP_807667.1_2352","-","NOG.COG0096.clustalo_raw","-",4.7e-30,101.2,0.1,5.2e-30,101.1,0.1,1,1,0,0,1,1,1,1,"Lactobacillus paracasei ATCC 334 chromosome, complete genome","Lactobacillus paracasei ATCC 334","Lactobacillus casei ","N","16","Lactobacillus","paracasei","GCF_000014525.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"516","NC_008527.1","lcl|NC_008527.1_prot_WP_011677155.1_2254","-","NOG.COG0096.clustalo_raw","-",2.5e-28,95.4,0.3,2.8e-28,95.3,0.3,1,1,0,0,1,1,1,1,"Lactococcus lactis subsp. cremoris SK11, complete genome","Lactococcus lactis subsp. cremoris SK11","Lactococcus lactis ","N","14","Lactococcus","lactis","GCF_000014545.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"527","NC_008528.1","lcl|NC_008528.1_prot_WP_002818466.1_583","-","NOG.COG0096.clustalo_raw","-",4.4e-28,94.1,0,4.8e-28,93.9,0,1,1,0,0,1,1,1,1,"Oenococcus oeni PSU-1, complete genome","Oenococcus oeni PSU-1","Oenococcus oeni ","N","18","Oenococcus","oeni","GCF_000014385.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"541","NC_008593.1","lcl|NC_008593.1_prot_WP_011721224.1_238","-","NOG.COG0096.clustalo_raw","-",1.2e-26,89.7,0.1,1.3e-26,89.5,0.1,1,1,0,0,1,1,1,1,"Clostridium novyi NT, complete genome","Clostridium novyi NT","Clostridium novyi ","Y","61","Clostridium","novyi","GCF_000014125.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"554","NC_009253.1","lcl|NC_009253.1_prot_WP_011876618.1_227","-","NOG.COG0096.clustalo_raw","-",5.3e-30,101.4,0.1,5.9e-30,101.2,0.1,1,1,0,0,1,1,1,1,"Desulfotomaculum reducens MI-1, complete genome","Desulfotomaculum reducens MI-1","Desulfotomaculum reducens ","Y","72","Desulfotomaculum","reducens","GCF_000016165.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"569","NC_009437.1","lcl|NC_009437.1_prot_WP_011917777.1_2282","-","NOG.COG0096.clustalo_raw","-",1.9e-33,112.5,0,2.1e-33,112.3,0,1,1,0,0,1,1,1,1,"Caldicellulosiruptor saccharolyticus DSM 8903, complete genome","Caldicellulosiruptor saccharolyticus DSM 8903","Caldicellulosiruptor saccharolyticus ","Y","49","Caldicellulosiruptor","saccharolyticus","GCF_000016545.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"586","NC_009617.1","lcl|NC_009617.1_prot_WP_008426597.1_168","-","NOG.COG0096.clustalo_raw","-",2.2e-26,89.9,0.1,2.5e-26,89.8,0.1,1,1,0,0,1,1,1,1,"Clostridium beijerinckii NCIMB 8052, complete genome","Clostridium beijerinckii NCIMB 8052","Clostridium beijerinckii","Y","67","Clostridium","beijerinckii","GCF_000016965.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"598","NC_009633.1","lcl|NC_009633.1_prot_WP_012065427.1_4396","-","NOG.COG0096.clustalo_raw","-",2.8e-25,86.2,0.1,3.1e-25,86,0.1,1,1,0,0,1,1,1,1,"Alkaliphilus metalliredigens QYMF, complete genome","Alkaliphilus metalliredigens QYMF","Alkaliphilus metalliredigens ","Y","69","Alkaliphilus","metalliredigens","GCF_000016985.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"612","NC_009697.1","lcl|NC_009697.1_prot_WP_003357687.1_3454","-","NOG.COG0096.clustalo_raw","-",1.8e-25,86.4,0.1,2e-25,86.3,0.1,1,1,0,0,1,1,1,1,"Clostridium botulinum A str. ATCC 19397, complete genome","Clostridium botulinum A str. ATCC 19397","Clostridium botulinum A","Y","63","Clostridium","botulinum","GCF_000017025.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"626","NC_009785.1","lcl|NC_009785.1_prot_WP_008809901.1_1908","-","NOG.COG0096.clustalo_raw","-",7.5e-29,96.8,0,8.3e-29,96.7,0,1,1,0,0,1,1,1,1,"Streptococcus gordonii str. Challis substr. CH1, complete genome","Streptococcus gordonii str. Challis substr. CH1","Streptococcus gordonii ","N","14","Streptococcus","gordonii","GCF_000017005.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"639","NC_009848.4","lcl|NC_009848.4_prot_WP_003217040.1_133","-","NOG.COG0096.clustalo_raw","-",2.2e-28,96.1,0.1,2.5e-28,95.9,0.1,1,1,0,0,1,1,1,1,"Bacillus pumilus SAFR-032, complete genome","Bacillus pumilus SAFR-032","Bacillus pumilus ","Y","134","Bacillus","pumilus","GCF_000017885.4","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"653","NC_009922.1","lcl|NC_009922.1_prot_WP_012158382.1_512","-","NOG.COG0096.clustalo_raw","-",9.1e-27,90.4,0.3,1e-26,90.3,0.3,1,1,0,0,1,1,1,1,"Alkaliphilus oremlandii OhILAs, complete genome","Alkaliphilus oremlandii OhILAs","Alkaliphilus oremlandii ","Y","60","Alkaliphilus","oremlandii","GCF_000018325.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"667","NC_010001.1","lcl|NC_010001.1_prot_WP_012201648.1_3718","-","NOG.COG0096.clustalo_raw","-",2e-28,96.4,0.1,2.2e-28,96.2,0.1,1,1,0,0,1,1,1,1,"Lachnoclostridium phytofermentans ISDg, complete genome","Lachnoclostridium phytofermentans ISDg","Lachnoclostridium phytofermentans ","Y","51","Lachnoclostridium","phytofermentans","GCF_000018685.1","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"696","NC_010079.1","lcl|NC_010079.1_prot_WP_000178881.1_2407","-","NOG.COG0096.clustalo_raw","-",1.7e-27,92.8,0.1,1.9e-27,92.7,0.1,1,1,0,0,1,1,1,1,"Staphylococcus aureus subsp. aureus USA300_TCH1516, complete genome","Staphylococcus aureus subsp. aureus USA300_TCH1516","Staphylococcus aureus ","N","12","Staphylococcus","aureus","GCF_000017085.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"698","NC_010184.1","lcl|NC_010184.1_prot_WP_002091529.1_121","-","NOG.COG0096.clustalo_raw","-",1.1e-27,94.5,0.1,1.2e-27,94.4,0.1,1,1,0,0,1,1,1,1,"Bacillus weihenstephanensis KBAB4, complete genome","Bacillus weihenstephanensis KBAB4","Bacillus weihenstephanensis ","Y","115","Bacillus","weihenstephanensis","GCF_000018825.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
